name,title_as_cop_participant,name_in_cop_partitipants_list,attended_cops_from_participants_list
Asger Garnak ,Mr.,Mr. Asger Garnak ,8
Atsushi Sato ,Mr.,Mr. Atsushi Sato ,8
Benito MÃ¼ller ,Mr.,Mr. Benito MÃ¼ller ,8
"Benjamin S. Karmorh, Jr. ",Mr.,"Mr. Benjamin S. Karmorh, Jr. ",8
Binu Parthan ,Mr.,Mr. Binu Parthan ,8
BjÃ¶rn-Ola LinnÃ©r ,Mr.,Mr. BjÃ¶rn-Ola LinnÃ©r ,8
Brian Dawson ,Mr.,Mr. Brian Dawson ,8
Bubu Pateh Jallow ,Mr.,Mr. Bubu Pateh Jallow ,8
Chandrashekhar Dasgupta ,Mr.,Mr. Chandrashekhar Dasgupta ,8
Charles Di Leva ,Mr.,Mr. Charles Di Leva ,8
Chien-Ming Lee ,Mr.,Mr. Chien-Ming Lee ,8
Chunfeng Wang ,Mr.,Mr. Chunfeng Wang ,8
Chunqian Jiang ,Mr.,Mr. Chunqian Jiang ,8
Clifford Mahlung ,Mr.,Mr. Clifford Mahlung ,8
Dae-Gyun Oh ,Mr.,Mr. Dae-Gyun Oh ,8
Dago Tshering ,Mr.,Mr. Dago Tshering ,8
Daniel Murdiyarso ,Mr.,Mr. Daniel Murdiyarso ,8
Danilo Mollicone ,Mr.,Mr. Danilo Mollicone ,8
DjiminguÃ© Nanasta ,Mr.,Mr. DjiminguÃ© Nanasta ,8
Donald Lehr ,Mr.,Mr. Donald Lehr ,8
Donald Lemmen ,Mr.,Mr. Donald Lemmen ,8
Durwood Zaelke ,Mr.,Mr. Durwood Zaelke ,8
Eui-Chan Jeon ,Mr.,Mr. Eui-Chan Jeon ,8
Fahmi Abdulhadi Binshbrak ,Mr.,Mr. Fahmi Abdulhadi Binshbrak ,8
Fei Teng ,Mr.,Mr. Fei Teng ,8
Floyd Deschamps ,Mr.,Mr. Floyd Deschamps ,8
Franz-Josef Schafhausen ,Mr.,Mr. Franz-Josef Schafhausen ,8
Gareth Phillips ,Mr.,Mr. Gareth Phillips ,8
George A. Manful ,Mr.,Mr. George A. Manful ,8
Gino van Begin ,Mr.,Mr. Gino van Begin ,8
Gordon Shepherd ,Mr.,Mr. Gordon Shepherd ,8
Harald Dovland ,Mr.,Mr. Harald Dovland ,8
Haroldo de Oliveira Machado Filho ,Mr.,Mr. Haroldo de Oliveira Machado Filho ,8
Hassan Hazri ,Mr.,Mr. Hassan Hazri ,8
Hercules Ribeiro Martins ,Mr.,Mr. Hercules Ribeiro Martins ,8
Hermann E. Ott ,Mr.,Mr. Hermann E. Ott ,8
Hidenori Niizawa ,Mr.,Mr. Hidenori Niizawa ,8
