donor;purposeName;nr of projects;total amount;amount per capita (amount / capita average 2010-2012);amount per gdp (amount / sum gdp 2010 - 2012);;Settings;;;;;;;;;;;;
Ireland;Agricultural research;4;0,05;1,01078E-08;7,1E-14;;;;;;;;;;;;;;
Ireland;Sectors not specified;4;0,02;3,61647E-09;2,6E-14;;;;;;;;;;;;;;
Ireland;Public finance management;3;1,54;3,38953E-07;2,391E-12;;;;;;;;;;;;;;
Ireland;Environmental policy and admin. mgmt;3;0,42;9,17704E-08;6,47E-13;;;;;;;;;;;;;;
Ireland;Disaster prevention and preparedness;2;1,54;3,38114E-07;2,385E-12;;;;;;;;;;;;;;
Ireland;Media and free flow of information;2;0,75;1,653E-07;1,166E-12;;;;;;;;;;;;;;
Ireland;Emergency food aid;2;0,7;1,52877E-07;1,078E-12;;;;;;;;;;;;;;
Ireland;Women's equality organisations and institutions;2;0,19;4,24645E-08;3E-13;;;;;;;;;;;;;;
Ireland;Multisector education/training;2;0,05;1,15772E-08;8,2E-14;;;;;;;;;;;;;;
Ireland;Legal and judicial development;2;0,04;9,01942E-09;6,4E-14;;;;;;;;;;;;;;
Ireland;Food aid/Food security programmes;1;10,93;2,40436E-06;1,6958E-11;;;;;;;;;;;;;;
Ireland;Education policy & admin. management;1;2,09;4,58724E-07;3,235E-12;;;;;;;;;;;;;;
Ireland;Basic drinking water supply and basic sanitation;1;0,7;1,52908E-07;1,078E-12;;;;;;;;;;;;;;
Ireland;Water supply & sanit. - large systems;1;0,7;1,52908E-07;1,078E-12;;;;;;;;;;;;;;
Ireland;Teacher training;1;0,14;3,05816E-08;2,16E-13;;;;;;;;;;;;;;
Ireland;Basic life skills for youth & adults;1;0,14;3,05816E-08;2,16E-13;;;;;;;;;;;;;;
Ireland;Civilian peace-building, conflict prevention and resolution;1;0,02;4,50818E-09;3,2E-14;;;;;;;;;;;;;;
Ireland;Agricultural inputs;1;0,01;1,44039E-09;1E-14;;;;;;;;;;;;;;
Ireland;Promotion of development awareness  (non-sector allocable);1;0,01;1,3654E-09;1E-14;;;;;;;;;;;;;;
Ireland;Livestock;1;0;5,7406E-10;4E-15;;;;;;;;;;;;;;
Ireland;Agricultural development;1;0;4,38898E-10;3E-15;;;;;;;;;;;;;;
Italy;Disaster prevention and preparedness;8;3,2;5,27673E-08;5,12E-13;;;;;;;;;;;;;;
Italy;Biosphere protection;7;8,23;1,35621E-07;1,317E-12;;;;;;;;;;;;;;
Italy;Higher education;7;0,12;1,97836E-09;1,9E-14;;;;;;;;;;;;;;
Italy;Power generation/renewable sources;6;1,46;2,39938E-08;2,33E-13;;;;;;;;;;;;;;
Italy;Advanced tech. & managerial training;5;0,02;2,98204E-10;3E-15;;;;;;;;;;;;;;
Italy;Biomass;4;0,46;7,63212E-09;7,4E-14;;;;;;;;;;;;;;
Italy;Environmental policy and admin. mgmt;3;1,53;2,52714E-08;2,45E-13;;;;;;;;;;;;;;
Italy;Material relief assistance and services;3;1,31;2,16234E-08;2,1E-13;;;;;;;;;;;;;;
Italy;Promotion of development awareness  (non-sector allocable);3;0,23;3,84982E-09;3,7E-14;;;;;;;;;;;;;;
Italy;Water supply & sanit. - large systems;3;0,11;1,88099E-09;1,8E-14;;;;;;;;;;;;;;
Italy;Agricultural development;2;0,97;1,5945E-08;1,55E-13;;;;;;;;;;;;;;
Italy;Agricultural water resources;2;0,62;1,01733E-08;9,9E-14;;;;;;;;;;;;;;
Italy;Education facilities and training;2;0,36;5,89463E-09;5,7E-14;;;;;;;;;;;;;;
Italy;Basic drinking water supply and basic sanitation;2;0,11;1,78722E-09;1,7E-14;;;;;;;;;;;;;;
Italy;Basic drinking water supply;2;0,09;1,55682E-09;1,5E-14;;;;;;;;;;;;;;
Italy;Flood prevention/control;2;0,09;1,4994E-09;1,5E-14;;;;;;;;;;;;;;
Italy;Energy research;2;0;4,2376E-11;0;;;;;;;;;;;;;;
Italy;Reconstruction relief and rehabilitation;1;2,75;4,5292E-08;4,4E-13;;;;;;;;;;;;;;
Italy;Multisector education/training;1;1,39;2,29237E-08;2,23E-13;;;;;;;;;;;;;;
Italy;Agricultural policy & admin. mgmt;1;0,69;1,13085E-08;1,1E-13;;;;;;;;;;;;;;
Italy;Solar energy;1;0,35;5,83747E-09;5,7E-14;;;;;;;;;;;;;;
Italy;Informal/semi-formal fin. intermed.;1;0,14;2,2646E-09;2,2E-14;;;;;;;;;;;;;;
Italy;Bio-diversity;1;0,12;1,9573E-09;1,9E-14;;;;;;;;;;;;;;
Italy;Agro-industries;1;0,06;1,04374E-09;1E-14;;;;;;;;;;;;;;
Italy;Water resources policy/admin. mgmt;1;0,04;6,29559E-10;6E-15;;;;;;;;;;;;;;
Italy;Personnel dvpt: pop. & repro health;1;0,03;5,64343E-10;5E-15;;;;;;;;;;;;;;
Italy;Education policy & admin. management;1;0,02;3,4232E-10;3E-15;;;;;;;;;;;;;;
