Person,Year,Arena,Event,Name_ID,Participations Count,name,title_as_cop_participant,name_in_cop_partitipants_list,attended_cops_from_participants_list,country,filename,Words count,Key
Jochen Harnisch,2010,Cop Side Event,2010_Cop Side Event,jochen harnisch,4,Jochen Harnisch,Mr.,Mr. Jochen Harnisch,5,,,2,Jochen Harnisch|2010|Cop Side Event
Jochen Harnisch,2011,Cop Side Event,2011_Cop Side Event,jochen harnisch,4,Jochen Harnisch,Mr.,Mr. Jochen Harnisch,5,,,2,Jochen Harnisch|2011|Cop Side Event
Jochen Harnisch,2012,Cop Side Event,2012_Cop Side Event,jochen harnisch,4,Jochen Harnisch,Mr.,Mr. Jochen Harnisch,5,,,2,Jochen Harnisch|2012|Cop Side Event
Jodi Browne,2004,Cop Side Event,2004_Cop Side Event,jodi browne,1,Jodi BROWNE,Ms.,Ms. Jodi BROWNE,4,,,2,Jodi BROWNE|2004|Cop Side Event
Joe Bradley,2010,Cop Side Event,2010_Cop Side Event,joe bradley,3,Joe Bradley,Mr.,Mr. Joe Bradley,1,,,2,Joe Bradley|2010|Cop Side Event
Joe Bradley,2011,Cop Side Event,2011_Cop Side Event,joe bradley,3,Joe Bradley,Mr.,Mr. Joe Bradley,1,,,2,Joe Bradley|2011|Cop Side Event
Joe Bradley,2012,Cop Side Event,2012_Cop Side Event,joe bradley,3,Joe Bradley,Mr.,Mr. Joe Bradley,1,,,2,Joe Bradley|2012|Cop Side Event
Joelle Chassard,2009,Cop Side Event,2009_Cop Side Event,joelle chassard,1,Joelle Chassard,Ms.,Ms. Joelle Chassard,5,,,2,Joelle Chassard|2009|Cop Side Event
Joelle De Sepibus,2012,Cop Side Event,2012_Cop Side Event,joelle de sepibus,1,Joelle De Sepibus,Ms.,Ms. Joelle De Sepibus,2,,,3,Joelle De Sepibus|2012|Cop Side Event
Jo-ellen Parry,2005,Cop Side Event,2005_Cop Side Event,jo-ellen parry,5,Jo-Ellen PARRY,Mr.,Mr. Jo-Ellen PARRY,2,,,2,Jo-Ellen PARRY|2005|Cop Side Event
Jo-ellen Parry,2006,Cop Side Event,2006_Cop Side Event,jo-ellen parry,5,Jo-Ellen PARRY,Mr.,Mr. Jo-Ellen PARRY,2,,,2,Jo-Ellen PARRY|2006|Cop Side Event
Jo-ellen Parry,2007,Cop Side Event,2007_Cop Side Event,jo-ellen parry,5,Jo-Ellen PARRY,Mr.,Mr. Jo-Ellen PARRY,2,,,2,Jo-Ellen PARRY|2007|Cop Side Event
